what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1392658401389
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1392658401390
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1392658401390
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1392658401390
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1392658401391
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1392658401391
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1392658401391
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1392658401392
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1392658401392
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1392658401392
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1392658401396
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1392658401396
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1392658401396
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1392658401396
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1392658401397
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1392658401404
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1392658401433
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1392658401433
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1392658401434
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1392658401434
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1392658401472
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1392658401472
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1392658401480
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1392658401485
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1392658401485
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1392658401485
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1392658401485
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1392658401485
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1392658401486
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1392658401490
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1392658401490
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1392658401490
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1392658401491
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1392658401491
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1392658401491
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1392658401491
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1392658401491
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1392658401492
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1392658401492
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1392658401492
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1392658401493
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1392658401536
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1392658401536
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1392658401549
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1392658401558
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1392658401569
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1392658401570
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1392658401570
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1392658401570
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1392658401583
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1392658401595
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1392658401610
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1392658401610
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1392658401611
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1392658401611
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1392658401611
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1392658401626
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1392658401626
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1392658401647
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1392658401648
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1392658401648
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1392658401648
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1392658401648
os,sysinfo,,,"linux",1392658401650
arch,sysinfo,,,"x86",1392658401650
ws,sysinfo,,,"gtk",1392658401650
locale,sysinfo,,,"en_US",1392658401650
processors,sysinfo,,,"4",1392658401650
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1392658401650
java.runtime.version,sysinfo,,,"1.6.0_27-b27",1392658401650
java.specification.name,sysinfo,,,"Java Platform API Specification",1392658401650
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392658401650
java.specification.version,sysinfo,,,"1.6",1392658401650
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1392658401650
java.version,sysinfo,,,"1.6.0_27",1392658401650
java.vm.info,sysinfo,,,"mixed mode, sharing",1392658401650
java.vm.name,sysinfo,,,"OpenJDK Client VM",1392658401651
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392658401651
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392658401651
java.vm.specification.version,sysinfo,,,"1.0",1392658401651
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1392658401651
java.vm.version,sysinfo,,,"20.0-b12",1392658401651
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1392658401664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392658401873
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392658402220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392658403378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392658412714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392659052289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392659052895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392671775481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392671826913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392671831914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392671834202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392672456651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392672458577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392680367952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392680369299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392695650764
